,recall,precission,f-value
1900,0.7865168539325843,0.03682272488164124,0.07035175879396985
1901,0.7865168539325843,0.03680336487907466,0.07031642390758412
1902,0.7865168539325843,0.03678402522333158,0.07028112449799197
1903,0.7865168539325843,0.03676470588235294,0.07024586051179127
1904,0.7865168539325843,0.03674540682414698,0.07021063189568706
1905,0.7865168539325843,0.03672612801678909,0.07017543859649122
1906,0.7865168539325843,0.03670686942842161,0.07014028056112225
1907,0.7865168539325843,0.03668763102725367,0.0701051577366049
1908,0.7865168539325843,0.03666841278156103,0.07007007007007007
1909,0.7865168539325843,0.03664921465968586,0.07003501750875438
1910,0.7865168539325843,0.03663003663003663,0.07
1911,0.7865168539325843,0.036610878661087864,0.06996501749125437
1912,0.7865168539325843,0.03659174072138003,0.06993006993006994
1913,0.7865168539325843,0.03657262277951933,0.06989515726410384
1914,0.7865168539325843,0.03655352480417755,0.06986027944111776
1915,0.7865168539325843,0.03653444676409186,0.06982543640897755
1916,0.7865168539325843,0.036515388628064686,0.06979062811565305
1917,0.7865168539325843,0.0364963503649635,0.06975585450921773
1918,0.7865168539325843,0.03647733194372069,0.0697211155378486
1919,0.7865168539325843,0.036458333333333336,0.0696864111498258
1920,0.7865168539325843,0.03643935450286309,0.06965174129353234
1921,0.7865168539325843,0.036420395421436005,0.069617105917454
1922,0.7865168539325843,0.036401456058242326,0.06958250497017893
1923,0.7865168539325843,0.036382536382536385,0.06954793840039741
1924,0.7865168539325843,0.03636363636363636,0.06951340615690169
1925,0.7865168539325843,0.036344755970924195,0.0694789081885856
1926,0.7865168539325843,0.03632589517384536,0.06944444444444445
1927,0.7865168539325843,0.03630705394190872,0.06941001487357462
1928,0.7865168539325843,0.036288232244686365,0.06937561942517344
1929,0.7865168539325843,0.03626943005181347,0.06934125804853887
1930,0.7865168539325843,0.03625064733298809,0.06930693069306931
1931,0.7865168539325843,0.036231884057971016,0.06927263730826323
1932,0.7865168539325843,0.03621314019658562,0.0692383778437191
1933,0.7865168539325843,0.03619441571871768,0.06920415224913494
1934,0.7865168539325843,0.03617571059431524,0.06916996047430829
1935,0.7865168539325843,0.03615702479338843,0.0691358024691358
1936,0.7865168539325843,0.036138358286009295,0.06910167818361304
1937,0.7865168539325843,0.03611971104231166,0.06906758756783422
1938,0.7865168539325843,0.036101083032490974,0.06903353057199212
1939,0.7865168539325843,0.03608247422680412,0.06899950714637752
1940,0.7865168539325843,0.03606388459556929,0.06896551724137931
1941,0.7865168539325843,0.03604531410916581,0.068931560807484
1942,0.7865168539325843,0.03602676273803397,0.0688976377952756
1943,0.7865168539325843,0.0360082304526749,0.06886374815543532
1944,0.7865168539325843,0.03598971722365039,0.0688298918387414
1945,0.7865168539325843,0.03597122302158273,0.0687960687960688
1946,0.7865168539325843,0.035952747817154594,0.06876227897838899
1947,0.7865168539325843,0.03593429158110883,0.06872852233676975
